id,family,kind,concurrency,classification,httpStatus,charged,wallMs,cpuMs,peakRssBytes,requestBytes,outputBytes,verifyCalls,settleCalls,railwayVariableUsd,railwayVariableUsdcAtomicCeil,cdpSettleFeeUsdc,analysis,transport,code
h04-pub-lock-01,lockfile-public,integrity-source,1,successful,200,true,73.879866,100,224866304,2450,5204,1,1,0.000000831722,1,0.001000,actionable,ok,
h04-pub-lock-02,lockfile-public,resolved-url,1,successful,200,true,41.392197,30,225095680,2489,5268,1,1,0.000000265094,1,0.001000,actionable,ok,
h04-pub-lock-03,lockfile-public,addition,1,successful,200,true,40.908771,60,228708352,1840,3189,1,1,0.000000496834,1,0.001000,actionable,ok,
h04-lock-pub-b04-removal,lockfile-public,dependency-removal,1,successful,200,true,43.979019,40,229826560,13916,6556,1,1,0.000000345135,1,0.001000,actionable,ok,
h04-lock-pub-b05-normalize,lockfile-public,normalization-noise,1,successful,200,true,44.388152,40,227348480,23350,2130,1,1,0.000000345078,1,0.001000,informational,ok,
h04-lock-pub-b06-refuse,lockfile-public,yarn.lock-refusal,1,refused,400,false,2.673326,10,193822720,17314,465,0,0,0.000000079062,1,0.000000,not-run,rejected,parse-error
h04-lock-pub-b07-large,lockfile-public,realistic-large-lockfileVersion-3,1,successful,200,true,50.910386,50,244834304,111196,2258,1,1,0.000000430809,1,0.001000,partial,ok,
h04-lock-01,lockfile-sds,change,1,successful,200,true,47.622192,60,230014976,70580,5979,1,1,0.000000502577,1,0.001000,actionable,ok,
h04-lock-02,lockfile-sds,integrity-only,1,successful,200,true,37.817298,30,239419392,2048,3082,1,1,0.000000264148,1,0.001000,actionable,ok,
h04-lock-03,lockfile-sds,no-change-control,1,successful,200,true,53.837374,70,245297152,110814,2137,1,1,0.000000587874,1,0.001000,informational,ok,
controlled-near-admitted-lockfile,controlled,near-128kiB-lockfile,1,successful,200,true,41.030054,30,235315200,131605,2640,1,1,0.000000266308,1,0.001000,actionable,ok,
controlled-oversize-lockfile,controlled,over-128kiB-lockfile,1,refused,413,false,2.645188,0,197660672,266260,436,0,0,0.000000001879,1,0.000000,not-run,rejected,payload_too_large
controlled-oversize-request,controlled,over-256kiB-request,1,refused,413,false,2.670937,0,197926912,270356,436,0,0,0.000000001900,1,0.000000,not-run,rejected,payload_too_large
controlled-html-refuse,controlled,html-input,1,refused,400,false,1.856952,0,197931008,212,426,0,0,0.000000001321,1,0.000000,not-run,rejected,html-input
controlled-path-refuse,controlled,filesystem-path,1,refused,400,false,1.343516,0,197931008,71,462,0,0,0.000000000955,1,0.000000,not-run,rejected,filesystem_input
concurrency-1-1,concurrency,h04-lock-pub-b04-removal,1,successful,200,true,38.672687,,237834240,13990,6556,,,,,,,,
concurrency-6-1,concurrency,h04-lock-pub-b04-removal,6,successful,200,true,78.812012,,389632000,13990,6556,,,,,,,,
concurrency-6-2,concurrency,h04-lock-pub-b04-removal,6,successful,200,true,73.867854,,389632000,13990,6556,,,,,,,,
concurrency-6-3,concurrency,h04-lock-pub-b04-removal,6,successful,200,true,74.962601,,389632000,13990,6556,,,,,,,,
concurrency-6-4,concurrency,h04-lock-pub-b04-removal,6,successful,200,true,79.47851,,389632000,13990,6556,,,,,,,,
concurrency-6-5,concurrency,h04-lock-pub-b04-removal,6,successful,200,true,82.874419,,389632000,13990,6556,,,,,,,,
concurrency-6-6,concurrency,h04-lock-pub-b04-removal,6,successful,200,true,94.332034,,389632000,13990,6556,,,,,,,,
concurrency-12-1,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,157.495152,,400744448,13992,6556,,,,,,,,
concurrency-12-2,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,160.992004,,400744448,13992,6556,,,,,,,,
concurrency-12-3,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,151.827652,,400744448,13992,6556,,,,,,,,
concurrency-12-4,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,153.81515,,400744448,13992,6556,,,,,,,,
concurrency-12-5,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,155.219677,,400744448,13992,6556,,,,,,,,
concurrency-12-6,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,161.951063,,400744448,13992,6556,,,,,,,,
concurrency-12-7,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,163.471679,,400744448,13992,6556,,,,,,,,
concurrency-12-8,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,167.711759,,400744448,13992,6556,,,,,,,,
concurrency-12-9,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,168.883819,,400744448,13992,6556,,,,,,,,
concurrency-12-10,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,173.023176,,400744448,13994,6556,,,,,,,,
concurrency-12-11,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,174.80776,,400744448,13994,6556,,,,,,,,
concurrency-12-12,concurrency,h04-lock-pub-b04-removal,12,successful,200,true,176.099993,,400744448,13994,6556,,,,,,,,
controlled-timeout,controlled,worker-hold-6000ms-vs-5000ms-ceiling,1,failed,503,false,5065.022093,220,249675776,2048,1321,1,0,0.000006244564,7,0.000000,not-run,timeout,
